ASV unite_kingdom unite_phylum unite_class unite_order unite_family unite_genus unite_species
ASV_ITS_00092 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00093 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Strophariaceae g__Hypholoma s__myosotis
ASV_ITS_00094 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00095 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00096 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Clavariaceae g__Clavaria s__sphagnicola
ASV_ITS_00097 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Teratosphaeriaceae g__Bryochiton s__monascus
ASV_ITS_00098 k__Fungi p__Ascomycota c__Leotiomycetes NA NA NA NA
ASV_ITS_00099 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Meliniomyces NA
ASV_ITS_00100 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Hydnangiaceae g__Laccaria s__laccata
ASV_ITS_00101 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Leucosporidiales NA NA NA
ASV_ITS_00102 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Lachnum NA
ASV_ITS_00103 k__Fungi p__Rozellomycota NA NA NA NA NA
ASV_ITS_00104 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius NA
ASV_ITS_00105 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00106 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Teratosphaeriaceae NA NA
ASV_ITS_00107 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella NA
